region,hemisphere,CN,MCI,AD,AD-CN,MCI-CN
S_circular_insula_sup,Right,0.781229962,1.6884927458876615,1.5559509861081497,0.7747210244985547,0.9072627842780665
G_oc-temp_med-Parahip,Left,-1.503675337,-0.769806559,0.5568496627893661,2.060524999307127,0.7338687779953915
G_and_S_subcentral,Right,0.061292479,0.5067788667684807,1.0417533746183594,0.9804608954235198,0.4454863875736411
S_front_middle,Left,0.2350946860035609,0.8228552934612922,0.9216026757645537,0.6865079897609928,0.5877606074577313
G_cingul-Post-dorsal,Left,-0.917562161,-0.178940734,0.7572051575243465,1.6747673181382572,0.7386214265312944
G_postcentral,Left,-0.058557209,0.41868054575889857,0.5724477691160172,0.6310049777036125,0.4772377543464938
G_temporal_middle,Left,-0.16948316,0.32929186445338215,1.7728856747175872,1.9423688351301682,0.49877502486596315
S_intrapariet_and_P_trans,Right,0.6501741510277423,1.2059123454376754,1.426822770291503,0.7766486192637607,0.5557381944099331
Lat_Fis-ant-Vertical,Right,0.7894014348822919,1.4839165860851906,1.439853066827158,0.6504516319448662,0.6945151512028988
S_oc-temp_med_and_Lingual,Left,0.4905962452473766,1.179472545980136,1.7356762416912062,1.2450799964438295,0.6888763007327594
Pole_occipital,Left,-0.328572956,0.28065068193556425,0.49731232253678054,0.8258852786082753,0.609223638
G_front_middle,Left,0.018087191102489554,0.43485709868308187,0.8483598929487406,0.830272702,0.4167699075805923
S_postcentral,Left,-0.179582463,0.2271371843721456,0.7753652103647052,0.9549476730398767,0.4067196470473171
S_orbital_lateral,Right,0.7064147034397816,1.1460555941940194,1.385355620246164,0.6789409168063825,0.43964089075423773
S_suborbital,Right,0.9389288836573948,1.7522852009558914,1.468144014252642,0.5292151305952473,0.8133563172984966
G_and_S_frontomargin,Right,0.097292363,0.7014638153117807,0.6624459837634952,0.5651536209938913,0.6041714525421769
G_oc-temp_med-Lingual,Right,-0.838141065,-0.197725327,0.5455704198271454,1.3837114848970007,0.640415738
G_and_S_cingul-Ant,Right,0.38860597731339624,1.0936761069768313,1.2854712417259673,0.896865264,0.70507013
G_occipital_middle,Right,0.6188876239589455,1.2366418198855458,1.805601050468042,1.1867134265090966,0.6177541959266003
S_temporal_transverse,Right,-0.198227125,0.3533775248680356,1.8643089647818898,2.062536089731693,0.5516046498178384
G_and_S_transv_frontopol,Left,-0.320891853,-0.140974852,0.6758228225647135,0.9967146753715488,0.17991700051037648
G_cuneus,Right,0.4537444780618277,0.9615230461992917,1.489562767827148,1.03581829,0.507778568
G_oc-temp_lat-fusifor,Right,-2.466288941,-1.952707328,-0.10030422,2.365984721063066,0.5135816124306689
G_Ins_lg_and_S_cent_ins,Left,0.3113693257156213,0.9737741253908654,1.2283906605209158,0.9170213348052945,0.6624048
S_oc_sup_and_transversal,Right,0.4097431950505864,0.9787742631685502,1.518126816867628,1.1083836218170418,0.5690310681179638
G_front_sup,Left,-0.26247172,0.050083278,0.8141116439419972,1.0765833636889286,0.3125549978396174
S_collat_transv_post,Left,-1.772715285,-1.508368203,-0.090393636,1.6823216483554049,0.2643470817558058
S_temporal_inf,Left,-1.558522399,-1.150596912,0.5543086954095686,2.1128310948336377,0.4079254878379095
S_central,Right,1.2171668532550552,2.0808605192374388,1.452688459273382,0.23552160601832672,0.8636936659823835
Lat_Fis-post,Left,-1.213232706,-0.691050828,0.009548196,1.2227809020741258,0.5221818783023214
S_interm_prim-Jensen,Left,-0.513148816,-0.028873099,0.46668126526168674,0.9798300817441956,0.4842757177165102
